NAME,TOT_POP,4 year population change,4 year population change pct,Mid Tier ZHVI,Mid Tier ZHVI 5 yr Percent Change,ZORI,ZORI 5 yr Percent Change
New York,8478072,-262234,-0.030002839717511033,727764.4945499375,0.09907897896913798,2604.1332051350555,0.4650843657014314
Los Angeles,3878704,-17625,-0.00452348864790422,745184.7453652554,0.25207496807416363,2269.1601358665384,0.23635300763984723
Chicago,2721308,-23888,-0.00870174661481366,263204.8010464521,0.17114826911840875,1612.47617068593,0.3573163314129022
Houston,2390125,91180,0.03966167089686791,202767.92627782488,0.29078532669854584,1298.911773418554,0.203427591769886
Phoenix,1673164,60571,0.03756124452977286,295909.2801081732,0.36856591235113023,1240.8189836523593,0.28348092641964184
Philadelphia,1573916,-26872,-0.016786732534226894,192195.098344434,0.19115117925699532,1383.73932279315,0.23973889376506885
Dallas,1326087,22661,0.017385720401465063,234467.45526935093,0.2943644740767526,1296.6924218459003,0.22923600756706186
San Francisco,827526,-47300,-0.0540678946441921,1329621.1541922195,-0.05579633806020079,2897.415021465132,0.26963658581063976
Washington,702250,31333,0.04670175297391481,605089.9334838268,-0.043489916443643084,,
Boston,673458,-2064,-0.0030554149235702166,676159.4921232284,0.1337698940738965,,
Atlanta,520070,20072,0.04014416057664231,330400.4352845776,0.16999414284459946,1517.582974763308,0.25419964292465047
Miami,487014,44186,0.09978140496987543,365457.14463731926,0.5738463547132036,1876.9166996071065,0.5716635179843099
